site,ccv2m,ccv5m,chm,dem,disttowater,NDVI_max,NDVI_median,ndviresi,pisr_1,pisr_10,pisr_11,pisr_12,pisr_2,pisr_3,pisr_4,pisr_5,pisr_6,pisr_7,pisr_8,pisr_9,Pseudo_albedo,scd,shrubs,slope,snoweffect,snowresi,swi_suct2,swi_suct256,swi_suct64,swi_suct8,swi,tpi1000,tpi15,tpi250,tpi30,tpi500,tpi90,TWI_d8,TWI_Dinf,TWI_FD8f,watereffect,windexp,windexp100,ccv2m5,ccv5m5,chm5,eos1,eos3,moist_cv_july,moist_cv_summer,moist_max_july,moist_max_summer,moist_mean_july,moist_mean_summer,moist_min_july,moist_min_summer,moist_sd_july,moist_sd_summer,sos1,sos3,T1_FDD_days,T1_FDD,T1_ft,T1_GDD3_days,T1_GDD3,T1_GDD5_days,T1_GDD5,T1_max,T1_mean_1,T1_mean_10,T1_mean_11,T1_mean_12,T1_mean_2,T1_mean_3,T1_mean_4,T1_mean_5,T1_mean_6,T1_mean_7,T1_mean_8,T1_mean_9,T1_mean,T1_min,T1_TDD_days,T1_TDD,T3_FDD_days,T3_FDD,T3_frost,T3_ft,T3_GDD3_days,T3_GDD3,T3_GDD5_days,T3_GDD5,T3_max,T3_mean_1,T3_mean_10,T3_mean_11,T3_mean_12,T3_mean_2,T3_mean_3,T3_mean_4,T3_mean_5,T3_mean_6,T3_mean_7,T3_mean_8,T3_mean_9,T3_mean,T3_min,T3_TDD_days,T3_TDD,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15
MI11233,0,0,0,74379,19,613,440,8,0,690,43,0,294,1558,3867,6130,7435,6846,4800,2420,1392,158,0,124,212,3,1538,1098,1182,1313,1131,-1775,-2,-382,-12,-859,-38,493,864,996,91,977,991,0,0,0,281.1,275.88,0.06,0.1,52.97,55.77,48.69,49.1,43.19,41.41,2.8,4.27,161.66,164.7,188.48,-43.49,3.49,107.79,920.77,88.84,834.8,14.6,-0.32,1.2,0.07,-0.2,-0.46,-0.27,-0.21,-0.09,5,10.49,9.79,4.66,2.47,-1.25,173.17,971.9,234.42,-429.52,-6.61,84.12,103.48,1007.95,88.4,940.63,27.56,-2.29,-1.98,-3.03,-3.03,-1.45,-0.92,-0.46,-0.09,7.73,11.65,9.83,3.54,1.68,-10.95,129.4,1033.88,197,325,-204,53,-129,-48,48,18,-54,60,114,-12,-12,-29,-11
MI11232,0,0,0,74310,18,688,467,83,0,683,43,0,291,1543,3845,6106,7437,6829,4778,2403,1412,157,0,95,212,2,1545,1156,1166,1235,1016,-1792,2,-505,-6,-1001,-73,597,1040,1112,88,974,988,0,0,0,281.23,275.7,0.05,0.08,55.44,56.47,50.98,52.49,46.92,44.35,2.69,4.01,163.15,166.37,133.22,-47.42,3.37,106.75,932.1,89.38,858.46,14.86,-0.08,1.32,0.2,0,-0.29,-0.22,-0.1,0.02,4.56,10.81,10.04,4.75,2.55,-0.83,224.33,1006.99,218.52,-432.81,-5.59,77.51,104.45,1004.52,88.72,942.35,26.88,-2.14,-1.96,-3.04,-2.75,-1.56,-1.25,-0.62,-0.08,7.83,11.59,9.84,3.57,1.65,-10.9,146.65,1035.6,13,304,55,55,-88,-47,-95,163,-78,76,99,11,50,-6,49
MI11231,0,0,0,73956,8,716,504,108,0,761,44,0,318,1697,4073,6314,7584,7010,5004,2598,1553,159,0,426,212,4,1329,995,995,1016,947,-1670,-10,-531,-30,-983,-143,531,936,998,88,959,968,0,0,0,281.92,276.16,0.07,0.13,53.45,54.8,46.04,47.71,41.4,36.19,3.01,5.71,161.94,164.03,122.25,-50.06,2.91,111.05,946.14,92.27,871.24,14.74,-0.16,1.55,0.29,-0.01,-0.3,-0.3,-0.12,0.03,5,10.58,9.93,5.05,2.59,-0.72,232.33,1013,228.38,-493.62,-5.14,72.36,103.43,985.86,87.8,930.05,26.31,-2.5,-2.01,-3.19,-2.93,-2.01,-1.59,-0.83,-0.14,7.39,11.48,9.8,3.61,1.42,-10.94,136.84,1023.03,-326,366,-171,73,-64,-51,-72,-23,-83,-16,72,63,39,34,35
MI11230,0,0,0,73759,15,693,471,84,0,670,43,0,286,1517,3805,6070,7389,6795,4738,2368,1485,153,0,29,235,-2,1647,1522,1533,1569,1259,-1519,-1,-435,-22,-870,-174,1015,1046,1234,98,956,956,0,0,0,281.29,275.76,0.07,0.1,54.49,55.93,49.06,49.01,43.65,41.61,3.05,5.55,161.47,165.87,188.04,-90.83,4.76,105.81,887.23,86.21,802.78,14.42,-0.47,1.25,-0.06,-0.33,-0.58,-0.5,-0.37,-0.22,4.35,10.35,9.74,4.64,2.4,-1.22,180.31,942.01,230.29,-558.22,-8.3,89.95,107.24,1007.03,90.16,941.01,26.53,-2.95,-2.23,-3.95,-3.49,-2.28,-1.71,-0.87,-0.09,8.31,11.52,9.69,3.5,1.32,-12.25,133.85,1045.26,-155,354,-212,157,-140,-68,38,121,-45,93,113,45,11,-56,62
MI11229,0,0,0,73733,19,608,452,-2,0,651,44,0,281,1483,3753,6024,7351,6750,4686,2323,1341,149,0,115,107,-6,1533,1437,1460,1494,1522,-1145,4,-107,5,-598,-59,586,573,580,97,994,992,0,0,0,281.24,275.59,0.05,0.09,52.23,54.77,47.9,48.87,43.87,40.98,2.31,4.01,156.5,160.92,189.94,-141.3,4.6,110.36,922.03,90.92,849.95,14.43,-0.87,0.99,-0.21,-0.58,-1.2,-0.83,-0.59,-0.22,5.57,10.45,9.85,4.59,2.22,-2.24,160.49,977.31,220.42,-650.28,-9.01,87.32,110.98,1044.52,93.41,974.33,26.61,-3.57,-2.35,-4.28,-3.9,-3.07,-2.24,-1.1,0.2,8.94,11.46,9.73,3.61,1.1,-14.02,145.39,1081.98,159,370,-63,2,-64,17,-84,-69,16,44,77,118,-54,-15,64
MI11228,0,0,0,74442,20,640,432,36,0,676,44,0,289,1532,3827,6093,7410,6791,4760,2386,1449,159,0,142,212,4,1254,1163,1179,1224,1053,-1119,-8,-225,-17,-800,-15,718,1106,1142,89,990,994,0,0,0,281.15,275.66,0.04,0.07,54.57,55.86,50.16,52.06,48.22,45.69,2.27,3.59,162.7,165.85,188.94,-76.18,3.88,105.96,924.7,88.25,846,14.96,-0.39,1.18,-0.01,-0.28,-0.57,-0.45,-0.38,-0.23,4.82,10.68,9.91,4.63,2.39,-1.12,169.19,969.16,236.53,-487.3,-4.96,77.9,104.43,999.52,88.38,933.56,26.67,-2.47,-2.09,-3.16,-3.25,-1.79,-1.46,-0.75,-0.18,7.69,11.5,9.79,3.54,1.53,-11.62,129.27,1030.14,134,337,-63,-8,-158,-60,-49,19,-38,110,132,40,-31,-40,-11
MI11227,0,0,0,74054,1,618,470,11,0,708,44,0,301,1596,3921,6179,7475,6870,4853,2464,1628,155,0,362,186,0,1257,1141,1141,1139,1052,-1163,0,-173,18,-718,-25,817,1173,1138,98,999,1003,0,0,0,281.32,275.75,0.05,0.08,51.84,53.97,48.46,48.47,44.57,41.53,2.37,4.18,159.31,163.76,192.6,-85.05,4.09,107.73,924.55,88.83,844.45,14.75,-0.51,1.16,-0.07,-0.45,-1.02,-0.56,-0.39,-0.16,5,10.48,9.89,4.68,2.37,-2.3,171.49,964.62,222.24,-592.07,-6.46,85.01,109.43,1032.75,92.57,964.49,26.92,-3.54,-2.06,-3.89,-3.81,-2.86,-2.15,-1.05,0.14,8.68,11.58,9.82,3.65,1.31,-11.99,144.37,1069.77,59,395,-95,9,-26,86,-60,67,-37,61,70,41,-7,-3,30
MI11226,0,0,0,73707,6,651,477,41,0,707,44,0,300,1594,3921,6178,7477,6889,4866,2466,1370,155,0,218,172,0,1481,1337,1380,1441,1336,-1073,-12,-57,-25,-549,-57,437,566,687,96,993,984,0,0,0,281.66,275.76,0.05,0.07,54.79,55.16,49.34,50.33,48.24,45.56,2.17,3.28,161.19,165.56,167.64,-65.71,4.07,110.13,900.2,90.59,815.31,13.6,-0.32,1.61,0.22,-0.13,-0.51,-0.45,-0.26,-0.13,4.42,10.04,9.68,4.88,2.44,-0.92,183.29,966.94,230.68,-526.78,-6.7,82.03,107.58,1009.58,90.48,943.28,26.11,-2.86,-2.17,-3.56,-3.09,-2.22,-1.66,-0.85,-0.13,8.32,11.32,9.7,3.54,1.37,-11.94,132.23,1044.01,-83,340,-145,32,-105,-25,-91,-39,16,20,77,42,10,-30,38
MI126,0,0,13,66438,134,759,582,97,0,657,41,0,282,1509,3655,5688,6783,6269,4438,2242,2050,137,0,3102,61,-16,433,433,433,433,441,4506,29,732,17,2215,-55,347,341,434,0,1059,1037,0,0,15,283.16,278.25,0.11,0.15,24.64,28.57,20.65,21.64,17.31,15.82,2.19,3.24,147.85,154.72,202.04,-418.65,6.32,118.06,956.6,95.78,856.09,14.13,-2.81,1.36,-0.85,-2.3,-2.51,-2.57,-1.23,0.23,5.21,9.94,9.74,5.27,1.66,-3.79,166.88,982.33,212.85,-941.42,-6.06,113.08,123.4,1201.84,103.67,1121.52,30.29,-5.81,-1.48,-4.62,-5.85,-5.07,-4.17,-1.86,1.75,10.25,12.09,10.54,4.25,0.84,-14.08,153.22,1253.28,-483,-117,205,45,23,-28,17,-19,46,-64,-141,-7,74,-44,108
MI206,0,0,4,71634,200,460,349,-165,0,462,43,0,221,1068,2981,5169,6562,5914,3841,1713,2198,139,0,1875,92,-15,401,401,401,401,413,7958,46,2858,151,5079,966,426,394,398,0,1122,1093,0,0,5,280.67,274.51,0.12,0.15,26.03,30.11,21.78,21.18,17.53,16.54,2.35,3.27,148.67,152.67,221.08,-857.19,8.02,112.22,934.96,92.02,845.17,16.33,-5.54,0.13,-2.46,-4.38,-6.17,-4.87,-2.91,-0.41,6.63,10.39,9.45,4.17,0.46,-8.77,141.25,974.42,223.1,-1239.56,-6.89,101.92,115.67,1064.19,94.85,978.03,25.96,-7.64,-2.22,-6.01,-7.47,-7.33,-6.14,-3.39,0.41,8.86,11.42,9.85,3.66,-0.42,-17.24,144.48,1100.66,1135,-46,-107,69,35,87,54,-17,-5,5,-66,-8,17,-23,4
