site,T1_mean,T3_mean,T1_mean_1,T1_mean_2,T1_mean_3,T1_mean_4,T1_mean_5,T1_mean_6,T1_mean_7,T1_mean_8,T1_mean_9,T1_mean_10,T1_mean_11,T1_mean_12,T3_mean_1,T3_mean_2,T3_mean_3,T3_mean_4,T3_mean_5,T3_mean_6,T3_mean_7,T3_mean_8,T3_mean_9,T3_mean_10,T3_mean_11,T3_mean_12,T1_min,T3_min,T1_max,T3_max,T1_TDD,T3_TDD,T1_GDD3,T3_GDD3,T1_GDD5,T3_GDD5,T1_FDD,T3_FDD,T1_TDD_days,T3_TDD_days,T1_GDD3_days,T3_GDD3_days,T1_GDD5_days,T3_GDD5_days,T1_FDD_days,T3_FDD_days,sos1,eos1,sos3,eos3,T1_ft,T3_ft,T3_frost,moist_mean_summer,moist_max_summer,moist_min_summer,moist_sd_summer,moist_cv_summer,moist_mean_july,moist_max_july,moist_min_july,moist_sd_july,moist_cv_july
AIL101,1.8320696041524067,1.3637400467716179,-1.990332694892473,-2.07728104719764,-1.9725760584677419,-1.0652714409722224,-0.029752217741935486,6.480355729166666,10.195686710349461,9.521522563844085,4.825136545138889,1.0024218413978494,-1.2772614583333333,-1.921878813844086,-4.01213533266129,-3.7680801069321532,-3.272594002016129,-1.5574800347222222,1.9692574764784947,11.345970486111112,12.926666750672045,10.73894623655914,4.5008641493055555,-1.617383568548387,-6.047052517361111,-5.207426831317204,-3.8454906249999996,-17.751156249999998,14.383962499999999,30.407828125000012,1003.7617697916666,1318.0773567708334,961.7593182291665,1285.1823020833335,870.4177,1214.8893203125,-334.598346875,-819.9713046874999,149.75,155,120.75,126.5,98,109,215.5,210.25,147.5,281.25,150.75,278,6,99,-10.891875,13.219582257077162,19.686458333333334,7.533333333333333,2.9361569402878755,0.22210663568555586,13.461794354838709,17.235416666666666,10.270833333333334,1.9330653243385694,0.14359640872420162
AIL102,1.7301366686630162,0.8499137336370637,-2.876432510080645,-2.8352420907079647,-2.166492573924731,-1.3280002604166667,0.012123857526881675,6.978076128472223,10.75524591733871,10.19390099126344,5.292930729166667,0.9727568380376344,-1.8685927083333334,-2.7041479838709677,-5.589171706989247,-4.859213679941003,-3.31748781922043,-1.722521267361111,1.8116468728998656,11.104361653645833,12.494551936323925,10.56681147093414,4.438336371527778,-2.219642557123656,-6.683799913194444,-6.210821992607527,-5.275181249999999,-18.27828125,15.874271875000002,30.795043750000005,1072.7653744791667,1280.7316845703126,1033.1035645833333,1244.0405940755209,952.2036088541666,1168.962517903646,-440.83295625,-970.300693359375,147,155,122,125.25,102,106.75,218.25,210.25,147.75,282.5,153.5,278.25,5,118.5,-12.915,22.63254308084478,28.04583333333333,15.447916666666666,2.9216004074126256,0.12908847216048575,21.970682123655916,25.723958333333336,16.84375,2.31454360384055,0.10534691598621201
AIL103,3.301762249030345,1.7197844960286903,-0.6602210181451613,-0.7967023414454277,-0.6922480678763441,-0.5210811631944444,0.010470031081989234,10.539940538194445,13.96334616515457,12.492161164314517,5.655416883680556,0.8932484038978495,-0.8222964409722222,-0.7513983534946236,-2.470680309139785,-2.3113745206489678,-1.5788897345430108,-0.8599038194444445,0.3391241683467742,9.99332041015625,12.43293922001008,10.773981306703629,4.464350303819444,-2.1685549731182796,-5.047165104166667,-3.233417624327957,-1.7806406249999998,-14.939053125,21.763293749999995,27.330037499999992,1352.3270494791668,1204.5904809244792,1330.78279296875,1178.8400304036459,1278.3756126302083,1114.119155403646,-146.35838802083333,-576.43919375,140.5,135.5,121.25,118,108.5,101.75,224.75,229.75,152.75,281.25,154,277.5,2.75,73.25,-4.5389,33.77089032973682,56.32180729166667,19.688630208333333,10.659681857506413,0.3156470484913474,29.95225739247312,37.05865104166667,22.975609374999998,4.989819712781862,0.1665924423457907
AIL104,2.6384686751368926,0.9687109186059776,-0.5451528897849462,-0.629067570058997,-0.5597698252688172,-0.44296875,-0.18434979838709678,5.797384982638889,10.127310147849462,9.966261340725806,5.819514973958333,2.1589276713709675,0.2697482638888889,-0.37737315188172044,-4.87238093077957,-3.904343768436578,-2.698951831317204,-1.3254590277777778,1.2896234375,10.213440711805555,11.99351498655914,10.019094623655914,3.993258420138889,-2.45277407594086,-5.963251996527778,-5.001360685483871,-0.940234375,-19.053696875,13.189531250000002,28.056693750000004,1055.3019205729165,1189.267796875,997.8260091145834,1151.060684375,914.32373046875,1081.6715322916666,-91.60123697916667,-835.4461338541666,170.75,147.5,123,119.5,102.25,102.25,195.25,217.75,151.75,283.25,158.25,279.25,4.5,146.25,-23.7449,36.765120887947575,47.63229166666667,34.354166666666664,3.2764723069636883,0.08911904076011862,35.37904905913979,38.31614583333333,34.43958333333333,0.9001766115138531,0.025443776343708775
AIL105,1.8520659112622635,1.016447032569017,-0.7652152175739244,-0.8197503825589966,-0.7609566700268814,-0.5680004123263886,-0.356728259408602,2.4343602647569447,8.52036462953629,9.228259559811828,4.797583897569445,1.1810950562836025,-0.35377395833333325,-0.5848859164986557,-3.7236480384744626,-3.294648322271386,-2.454626071068548,-1.1648261718750001,0.08905861475134416,8.986188910590277,11.58771221858199,9.90046139952957,3.7495056423611115,-2.276517662130376,-5.1459314236111116,-4.361699008736559,-1.0572093749999996,-15.462625,11.055187500000002,26.509028125000004,807.5212369791667,1091.6985481770835,748.2250868489583,1054.1496061197918,647.6365281249999,988.1854524739583,-131.05416289062495,-720.44126953125,143.75,136.5,100.75,110.75,74.75,94,221.5,228.75,160.75,281,172,276,6.75,111,-9.6403125,50.34257246659081,55.62236979166664,48.23816666666667,1.6476319482157793,0.03272840197646254,49.91379586693549,53.371578125,48.27150000000001,1.3889543517699,0.027827063192562923
AIL106,1.9681166823522702,0.7759378386664385,-2.153194254032258,-2.8756377028023596,-2.3330707661290324,-1.2695592013888888,0.23921586021505375,7.547769357638889,11.033623202284947,10.392788188844087,5.015890017361111,0.8890079469086021,-1.1047805555555557,-2.1196026041666665,-4.888062836021505,-5.776583241150442,-4.184444304435484,-2.0021809895833336,1.5250441028225807,10.414420572916667,12.171465473790322,10.43492208501344,4.24453125,-1.8980174731182795,-5.169476996527778,-6.000231014784946,-4.2779750000000005,-14.7875,16.401790625000004,29.8540625,1094.7973916666667,1232.8839518229167,1061.554890625,1190.5900065104165,978.202090625,1116.8123372395833,-375.9427734375,-949.47265625,146.5,157.25,123.75,121,103,103,218.75,208.5,147.5,281.25,148.75,276.75,5,87.75,-8.84375,17.118559270609374,21.944666666666667,11.0015625,2.4611932963458165,0.14377338988868102,16.380141129032257,19.72864583333333,12.6,1.984367227072235,0.12114469658354353
AIL107,0.7693002737850789,0.28159254078256896,-3.03133125,-3.398553318584071,-2.833005057123656,-1.9101832465277777,-0.6409897681451613,4.477891840277778,8.556191851478495,8.344613810483873,3.6305719618055554,0.16337221102150537,-1.6384059027777778,-2.810470614919355,-5.983265658602151,-5.355752931415929,-4.496790524193548,-2.6728990451388888,0.39852827620967746,10.008774131944444,12.068051125672042,10.174716952284946,3.7823201388888887,-2.271719119623656,-5.4227796875,-7.202771706989247,-6.063675,-17.327193750000003,12.393981250000007,28.792884375000003,797.1176328125001,1174.7753619791665,747.4305760416668,1139.0633651041667,624.911875,1061.03654375,-516.1307078125001,-1071.9236864583333,138.75,140,105.25,115.75,75,96.75,226.5,225.25,152.5,281.25,158,272.5,11,78.75,-6.928749999999999,12.178352462276427,15.661979166666667,9.1609375,1.5870536142701175,0.1303175958477276,11.8674563172043,13.984895833333335,10.277604166666666,0.9984499884390995,0.08413344542854077
AIL108,-0.8219672785024248,-1.6159452763647772,-7.123591754872308,-7.5442192109144495,-7.133254893313168,-4.906619249131943,-1.6572489289314511,6.193961588541669,9.536970202911169,8.874617947366815,3.3914977904040424,-0.6827576864919346,-3.228091362847221,-6.028341943884406,-10.111468203965055,-9.990068330567846,-8.743583459341398,-5.0765977647569445,-0.5511268271169355,9.246034041587754,11.212953237643571,9.595113970475929,3.1928291114267684,-2.9147835811491936,-6.466938259548611,-9.289182417674732,-8.992034374999989,-16.325484375,12.684215625000004,23.61265625,881.7387692353221,1080.5743895004734,843.5434274384472,1038.7909812973485,755.6949964488638,958.8378636955492,-1181.9623177083326,-1670.7984016927085,136,139.75,107,111.75,86,92,229.25,225.5,148.25,276.75,151.25,271.5,11.25,78.75,-3.9521875,27.879384066604985,34.49312926136364,23.132291666666667,2.575192814225316,0.09236907128482737,27.555712426686217,30.987479640151516,24.731291666666667,1.7238070383439839,0.06255715735640244
AIL109,0.971603398072097,-1.0850137427275839,-5.161487668010753,-5.946392459439528,-4.908389969758065,-2.271015277777778,0.9983325604838711,9.112947395833334,11.474653545026882,10.389146572580646,4.445792447916666,-0.1256488743279569,-2.5510825520833333,-4.254849143145161,-9.89027847782258,-9.342067662241888,-7.621713289650538,-3.1809895833333335,1.1176705309139785,9.72048611111111,11.435378864247312,9.831700478830646,3.556879340277778,-2.7954259072580645,-6.896028645833334,-9.445018481182796,-9.569096875,-21.67984375,18.623403125000003,27.452812500000004,1157.613990625,1156.9724934895833,1121.6288432291667,1111.80322265625,1043.23610625,1030.0411783854167,-802.7358494791666,-1553.2737630208333,149.25,150.75,124.75,119.75,104.75,99.5,216,214.5,137.75,281,143.5,275.5,17.25,159,-24.296875,24.31143370697464,31.227083333333333,18.786796875000004,2.450278844079537,0.10078709769290913,25.017372311827955,28.301041666666666,23.1734375,1.2028416344143025,0.04808025476942722
AIL110,2.12414976899384,0.6484203107175451,-2.476373487903226,-2.92506683259587,-2.827169438844086,-1.4032335069444444,0.7534862231182796,9.19015842013889,11.511025705645162,10.51691658266129,4.848665364583334,0.888619371639785,-0.9151258680555555,-2.0160240255376345,-5.546723840725806,-5.210935859144543,-4.77424190188172,-1.9207402777777778,1.6808887264784946,10.014991059027778,11.53260873655914,9.887862222782259,3.6986065104166665,-2.0153583333333334,-4.239718142361111,-5.685994254032258,-4.287578125,-13.91186875,19.063281250000003,28.122584375000002,1168.7145182291667,1169.2585440104167,1125.3746744791665,1125.7673143229167,1054.853515625,1047.3162174479166,-392.8688151041667,-932.4230255208333,151,153.5,122.75,119.25,105.25,100,214.75,211.75,143.5,282.25,146,276,6.5,125.75,-16.663600000000002,17.791977638134057,23.211458333333333,12.210416666666667,2.46559895609556,0.13857925219122189,17.403830645161293,21.230208333333334,14.1203125,1.8514591789851762,0.10638227966783445
AIL111,2.539279795516769,1.8127834103353868,-0.6579621975806452,-0.7561839970501475,-0.7400774529569892,-0.5490915798611111,-0.32495438508064517,5.3715355902777775,11.257055863575268,9.864110215053763,5.5723819444444445,1.6117790658602151,-0.10411545138888888,-0.36115020161290323,-2.3287025369623655,-2.1670123525073746,-1.7775012600806452,-1.0107204861111112,0.37019069220430106,9.716015625,12.406743531586022,10.17689432123656,4.033246527777778,-1.7728284610215053,-3.604134114583333,-2.581086189516129,-1.18159375,-12.614531249999999,14.83075,30.617812500000007,1036.5114661458333,1164.4638671875,1004.674546875,1132.8434244791667,912.6736119791666,1066.3486328125,-109.03952083333334,-502.3447265625,157.25,135,117,116.25,95.25,99.5,208,230.25,159.5,283.25,161.75,275.75,2.75,106.25,-12.078125,51.21019078754135,58.0203125,42.119791666666664,5.833481977198031,0.11391252185331102,52.75139448924731,57.8484375,46.45520833333333,4.23999373830704,0.08037690338539406
AIL112,2.869892606376911,1.5051475202486881,-2.772397379032258,-2.7214206120943953,-2.1292312163978493,-0.7280852430555556,2.0510548219086022,10.375766753472222,12.621871354166666,12.02269250672043,6.628978559027778,1.6186266465053765,-0.9319046875,-1.9685604334677418,-5.183976360887097,-4.427911154129793,-2.8575104670698925,-0.9416621527777778,2.6052541498655915,11.151925086805555,12.567021202956989,11.204538004032258,5.02547109375,-1.3118955477150536,-4.724301041666666,-5.426636391129032,-3.835771875,-13.862946874999999,20.5069625,28.706271875000006,1396.177390625,1355.3871161458333,1369.8011614583334,1323.1339651041667,1289.4116989583333,1249.0041604166668,-347.94911614583333,-805.631984375,161.25,157.75,141.25,132.75,121.5,114,204,207.5,137.75,284.75,139.5,282,13.5,109,-21.886625,17.055361186594205,22.030729166666667,12.411979166666665,2.6501753543519713,0.1553866450178172,16.20882056451613,19.628125,13.534895833333334,1.5434486929220963,0.09522276385124334
AIL113,2.2471630746634728,1.220435614875656,-1.681721875,-1.6967880162241888,-1.2297729502688173,-0.7022513888888889,0.12036145833333331,6.059423958333333,9.947373387096777,10.058449495967743,5.800493836805556,1.7237195732526882,-0.40526788194444446,-1.3210342909946238,-5.471266515456989,-4.479943694690266,-2.8767394657258065,-1.2437029513888889,2.257364616935484,11.253540972222222,12.49294719422043,10.706341851478495,4.4227141493055555,-1.9334640961021503,-4.9114329861111115,-5.927153192204301,-3.24570625,-16.50555625,13.852340625000004,32.81952187500001,1047.2638354166668,1299.386375,1003.3107057291668,1268.9929760416667,902.5184458333334,1202.6238557291667,-226.48752239583334,-853.6222666666666,162.25,151.25,126.25,127,101.5,110.25,203,214,147.5,282.5,155.25,280.5,7.5,113.25,-17.513875,14.241160465730676,21.604848958333335,7.8234375,3.1947458070187653,0.22433184533707531,13.638541666666667,18.058333333333334,9.938020833333333,2.335960198501259,0.17127639124426858
AIL114,2.9396189467830256,1.929324324806069,-0.16238197244623656,-0.2033038348082596,-0.19793724798387097,-0.16096788194444445,0.05802713373655915,6.712480468750001,10.24301747311828,10.068611811155915,6.055123697916667,2.1962789818548387,0.4799392361111111,-0.049426243279569904,-2.006930443548387,-1.6676922013274336,-1.1266066028225807,-0.5669487847222222,0.46167254704301075,10.224197048611112,12.10784190188172,10.323630712365592,4.116097005208333,-1.8439705141129032,-4.070062934027778,-3.0543619791666665,-0.31398437500000004,-12.859375,13.586093750000002,31.706875,1108.2357421875001,1175.94970703125,1055.4601041666667,1146.1668294270835,970.4178906250002,1091.6865234375,-34.539921875000005,-471.2639973958333,205,135,128.5,115.75,107.75,102,160.25,230.25,153.75,282.5,155.25,277.25,2.25,97.5,-15.0625,39.97314964210845,57.65677083333333,25.5328125,10.225852241586297,0.25581802617860755,37.81933803763441,50.931250000000006,29.0703125,6.990215298651902,0.18483177288020927
AIL115,2.5627354209445588,1.997709991016427,-0.4968168010752688,-0.5169673119469026,-0.4861481182795699,-0.3051333333333333,-0.11092760416666668,5.398566753472222,9.836107006048389,9.746630779569895,5.677049826388889,1.9248796875,0.18571953125000001,-0.35058444220430107,-2.319283434139785,-1.9375460914454277,-1.4787886424731183,-0.7294487847222222,0.08618951612903226,10.312065972222221,12.70560315860215,10.654895413306452,4.189534505208333,-1.6379788306451613,-3.161111111111111,-2.9761844758064515,-1.042190625,-10.789375,13.007184375000005,34.52765625000001,1014.1429463541667,1200.55615234375,966.8626281250001,1171.6017252604167,872.8495098958334,1113.5885416666667,-78.10383385416667,-470.892578125,165.5,129.25,121.5,112.5,98.5,98.25,199.75,236.25,156,282.5,160.75,277.25,1.5,77.75,-13.640625,27.057945906929348,36.817609375,13.019270833333334,5.872286661989241,0.2170263286868864,24.763004032258063,32.71875,16.648958333333333,4.829943987734343,0.19504677144350144
AIL116,2.246471630447182,1.8217416688056127,-0.36398479502688175,-0.4157217920353982,-0.4018712197580645,-0.3627170138888889,-0.2750966061827957,3.9599934895833333,8.918861307123656,8.853316112231182,5.0270399305555555,1.7038075436827957,0.3183919270833333,-0.24191448252688172,-2.2418991095430107,-2.005996865781711,-1.5558797043010753,-0.9285881076388889,0.13339490927419356,9.857989583333334,11.94623093077957,9.838089759744625,3.6710321180555554,-1.770397933467742,-2.6228372395833333,-2.7130012600806452,-0.705859375,-10.854953125,11.697812500000001,28.634968750000002,889.7919921875,1124.23257421875,826.6751302083334,1093.2322539062502,733.5139973958334,1032.1965455729166,-69.26822916666666,-458.8414296875,170.25,128.25,112.25,111,89.25,95.75,197.25,237,159,281,165,275.75,7.75,105,-19.772375,25.411903682034257,31.976265625,21.44895833333333,2.080430496038111,0.08186834493273074,25.00697244623656,27.702604166666667,22.586979166666666,1.389873222326314,0.05557942791013407
AIL117,0.7815997319187772,-0.7533429942391057,-4.845542002688172,-5.830773783185841,-5.053423807123656,-2.1766306423611113,0.4591034946236559,6.930205295138889,9.81043497983871,9.370414818548388,4.462171440972222,0.534340809811828,-1.5416263020833334,-3.179358366935484,-9.856623823924732,-9.491231102507374,-7.81609122983871,-3.2389431423611112,2.1167359711021505,10.448697916666667,11.944556451612904,10.22436785954301,3.854264322916667,-2.429634996639785,-6.4005859375,-8.923124579973118,-8.1151875,-22.0578125,14.367156250000004,29.349062500000006,994.7160052083334,1245.599609375,948.9328932291667,1201.0810546875,858.1692083333334,1122.1845703125,-709.2367031250001,-1520.7581380208333,150.75,155,120.75,125.25,98.25,105.5,214.5,210.25,142,281.25,147,276.25,13.5,170.25,-19.84375,18.398615998641304,25.2421875,13.45,2.496406470372959,0.13568447053611604,17.92639448924731,21.86302083333333,14.404166666666667,2.141877522640236,0.11948178000461757
